AAM,lograte
[H:1][C:2]=[C:3]([H:4])[H:5].[O:6]=[C:7]([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])([H:14])[C:15]([H:16])([H:17])[H:18]>>[H:1][C:2](=[C:3]([H:4])[H:5])[H:14].[O:6]=[C:7]([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])[C:15]([H:16])([H:17])[H:18],5.308322525230776
[H:1][O:2][C:3]([C:4]([H:5])([H:6])[H:7])([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])([H:14])[H:15].[O:16][O:17][C:18]([H:19])([H:20])[H:21]>>[H:1][O:2][C:3]([C:4]([H:5])[H:6])([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])([H:14])[H:15].[H:7][O:16][O:17][C:18]([H:19])([H:20])[H:21],-0.16281192340046965
[O:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([O:8][O:9][H:10])[C:11]([H:12])([H:13])[H:14]>>[O:1]([O:2][C:3]([H:4])([H:5])[C:6]([H:7])([O:8][O:9][H:10])[C:11]([H:12])[H:13])[H:14],6.551709166487903
[H:15][C:16]([H:17])[C:18]([H:19])([H:20])[H:21].[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[H:14]>>[H:10][C:16]([H:15])([H:17])[C:18]([H:19])([H:20])[H:21].[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])[C:11]([H:12])([H:13])[H:14],1.4581239783084476
[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[H:8][O:9][C:10]([C:11]([H:12])([H:13])[H:14])([C:15]([H:16])([H:17])[H:18])[C:19]([H:20])([H:21])[H:22]>>[H:1][C:2]([H:3])([C:4]([H:5])([H:6])[H:7])[H:8].[O:9][C:10]([C:11]([H:12])([H:13])[H:14])([C:15]([H:16])([H:17])[H:18])[C:19]([H:20])([H:21])[H:22],0.5593091730858774
[H:1].[H:2][O:3][C:4]([H:5])=[C:6]([H:7])[H:8]>>[H:1][H:2].[O:3][C:4]([H:5])=[C:6]([H:7])[H:8],4.974134849466305
[H:10][C:11]([H:12])[H:13].[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])([H:8])[H:9]>>[H:1][C:2]([H:3])([C:11]([C:4]([H:5])[C:6]([H:7])([H:8])[H:9])([H:10])[H:12])[H:13],4.124646660788052
[H:13][O:14][O:15][H:16].[H:1][O:2][C:3]([H:4])([H:5])[C:6]([C:7]([H:8])[H:9])=[C:10]([H:11])[H:12]>>[H:1][O:2][C:3]([H:4])([H:5])[C:6]([C:7]([H:8])([H:9])[H:13])=[C:10]([H:11])[H:12].[O:14][O:15][H:16],1.9959926938173955
[H:10][O:11][O:12][H:13].[H:1][C:2]=[C:3]([H:4])[C:5]([H:6])=[C:7]([H:8])[H:9]>>[H:1][C:2](=[C:3]([H:4])[C:5]([H:6])=[C:7]([H:8])[H:9])[H:10].[O:11][O:12][H:13],4.57848392285303
[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][C:12]([H:13])([H:14])[C:15]([H:16])([C:17]([H:18])([H:19])[H:20])[C:21]([H:22])([H:23])[H:24]>>[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])[H:8].[H:9][O:10][O:11][C:12]([H:13])([H:14])[C:15]([H:16])([C:17]([H:18])([H:19])[H:20])[C:21]([H:22])([H:23])[H:24],1.9952132823632385
[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])([H:8])[C:9]([H:10])([H:11])[H:12].[O:13][O:14][C:15]([H:16])([H:17])[C:18]([H:19])([H:20])[C:21]([H:22])([H:23])[C:24]([H:25])([H:26])[H:27]>>[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])[C:9]([H:10])([H:11])[H:12].[H:8][O:13][O:14][C:15]([H:16])([H:17])[C:18]([H:19])([H:20])[C:21]([H:22])([H:23])[C:24]([H:25])([H:26])[H:27],1.4482596451006855
[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][H:11]>>[H:1][C:2]([H:3])=[C:4][C:6]([H:7])([H:8])[H:9].[H:5][O:10][H:11],6.945353694685669
[H:11][C:12]=[C:13]([H:14])[H:15].[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])=[C:8]([H:9])[H:10]>>[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]=[C:8]([H:9])[H:10].[H:7][C:12]([H:11])=[C:13]([H:14])[H:15],2.911169975767491
[H:1][O:2][C:3]([H:4])([C:5]([H:6])([H:7])[H:8])[C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15].[O:16][C:17]([H:18])([H:19])[H:20]>>[H:15][O:16][C:17]([H:18])([H:19])[H:20].[H:1][O:2][C:3]([H:4])([C:5]([H:6])([H:7])[H:8])[C:9]([H:10])([H:11])[C:12]([H:13])[H:14],3.2695561849558934
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15].[O:16]=[C:17][H:18]>>[H:11][C:17](=[O:16])[H:18].[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[C:9]([H:10])[C:12]([H:13])([H:14])[H:15],1.907430261769649
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][O:10][C:11](=[O:12])[C:13]([H:14])([H:15])[H:16]>>[H:1][C:2]([H:3])[C:5]([H:6])([H:7])[H:8].[H:4][O:9][O:10][C:11](=[O:12])[C:13]([H:14])([H:15])[H:16],2.202378389244981
[O:1].[O:2]=[C:3]([H:4])[H:5]>>[O:1][H:5].[O:2]=[C:3][H:4],7.217437488214954
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])=[C:12]([H:13])[H:14]>>[H:1][C:2]([H:3])([H:4])[H:11].[H:5][O:6][C:7]([H:8])([H:9])[C:10]=[C:12]([H:13])[H:14],2.9701985859994826
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17]>>[H:1][C:2]([H:3])([H:4])[H:7].[O:5]=[C:6][C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17],4.125242778842937
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1][C:3]([O:2])([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11],5.707815682868811
[O:1]=[C:2]([H:3])[C:4]([H:5])=[C:6]([H:7])[H:8].[O:9][O:10][H:11]>>[H:3][O:9][O:10][H:11].[O:1]=[C:2][C:4]([H:5])=[C:6]([H:7])[H:8],2.5896234968743523
