AAM,lograte
[H:1][O:2][C:3](=[C:4]([H:5])[H:6])[C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13].[O:14][O:15][H:16]>>[H:1][O:2][C:3](=[C:4]([H:5])[H:6])[C:7]([H:8])[C:10]([H:11])([H:12])[H:13].[H:9][O:14][O:15][H:16],2.3210381373997215
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]=[C:7]([H:8])[C:9]([H:10])([H:11])[H:12]>>[H:1][C:2]([H:3])([H:4])[C:6](=[O:5])[C:7]([H:8])[C:9]([H:10])([H:11])[H:12],3.5309631255380185
[H:1].[H:2][O:3][C:4]([H:5])=[C:6]([H:7])[H:8]>>[H:1][H:8].[H:2][O:3][C:4]([H:5])=[C:6][H:7],4.445898250815153
[H:1][C:2]=[C:3]([H:4])[H:5].[O:6]=[C:7]([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])([H:14])[C:15]([H:16])([H:17])[H:18]>>[H:1][C:2](=[C:3]([H:4])[H:5])[H:14].[O:6]=[C:7]([C:8]([H:9])([H:10])[H:11])[C:12]([H:13])[C:15]([H:16])([H:17])[H:18],5.308322525230776
[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8][O:9][H:10]>>[H:3][O:8][O:9][H:10].[O:1]=[C:2][C:4]([H:5])([H:6])[H:7],3.3595950380671225
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[O:7][H:8]>>[H:1][C:2]([H:3])=[C:4][H:5].[H:6][O:7][H:8],5.558658062296027
[H:1][C:2]([H:3])=[C:4]([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][H:12]>>[H:1][C:2]([H:3])([C:4]([H:5])[C:6]([H:7])([H:8])[H:9])[O:10][O:11][H:12],2.9041168554326435
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[C:13]([H:14])([H:15])[C:16]([H:17])([H:18])[H:19]>>[H:1][C:2]([H:3])([H:4])[H:15].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[C:13]([H:14])[C:16]([H:17])([H:18])[H:19],2.818374223948701
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[H:7][C:8]=[C:9]([H:10])[H:11]>>[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[C:8]([H:7])=[C:9]([H:10])[H:11],4.306622146717815
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7][O:8][C:9]([H:10])([C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7][O:8][C:9]([H:10])([C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18],1.5460126100097271
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1][C:2]([H:3])([H:4])[C:6]([O:5])([H:7])[C:8]([H:9])([H:10])[H:11],2.3540051167095744
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([C:7]([H:8])([H:9])[H:10])[C:11]([H:12])([H:13])[H:14].[O:15][O:16][C:17](=[O:18])[C:19]([H:20])([H:21])[H:22]>>[H:1][C:2]([H:3])[C:5]([H:6])([C:7]([H:8])([H:9])[H:10])[C:11]([H:12])([H:13])[H:14].[H:4][O:15][O:16][C:17](=[O:18])[C:19]([H:20])([H:21])[H:22],1.9390382403359474
