AAM,Conversion
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.2899999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0615
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.428
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.575
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0524999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0344999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.05
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.481
