AAM,dh
[H:1][O:2][C@@:3]1([H:4])[C:5]([H:6])([H:7])[C:8][C:9]([H:10])([H:11])[C:12]1([H:13])[H:14]>>[H:1][O:2][C:3]([H:4])[C:12]([C:9]([C:8]=[C:5]([H:6])[H:7])([H:10])[H:11])([H:13])[H:14],0.780837508029
[H:1][O:2][C@@:3]1([H:4])[C:5]([H:6])([H:7])[C:8][C:9]([H:10])([H:11])[C:12]1([H:13])[H:14]>>[H:1][O:2][C@:3]([H:4])([C:5]([H:6])([H:7])[C:8])[C:12]([C:9]([H:10])[H:11])([H:13])[H:14],3.49601198134
[H:1][O:2][C@@:3]1([H:4])[C:5]([H:6])([H:7])[C:8][C:9]([H:10])([H:11])[C:12]1([H:13])[H:14]>>[H:1][O:2][C@@:3]([H:4])([C:5]([H:6])[H:7])[C:12]([C:9]([C:8])([H:10])[H:11])([H:13])[H:14],3.35859368134
[H:1][c:2]1[o:3][c:4][c:5]([C:6]([H:7])([H:8])[H:9])[c:10]1[H:11]>>[H:1][C:2]=[C:10]([C:5](=[C:4]=[O:3])[C:6]([H:7])([H:8])[H:9])[H:11],0.45875582169
[H:1][c:2]1[o:3][c:4][c:5]([C:6]([H:7])([H:8])[H:9])[c:10]1[H:11]>>[H:1][C:4]([O:3][C:2]#[C:10][C:6]([H:7])([H:8])[H:9])=[C:5][H:11],2.4819210808000003
[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[C@:7]1([C:8]([H:9])([H:10])[H:11])[C:12][O:13]1>>[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[C:7]([C:8]([H:9])([H:10])[H:11])=[C:12]=[O:13],-2.4009375854400004
[O:1]=[c:2]1[c:3]([H:4])[c:5]([H:6])[c:7]1=[O:8]>>[O:1]=[C:2]=[C:3]([H:4])[C:5]([H:6])=[C:7]=[O:8],0.153518839999
[O:1]=[C:2]1[C:3]([C:4]([H:5])([H:6])[H:7])[C:8]([H:9])([H:10])[C:11]1([H:12])[H:13]>>[O:1]=[C:2][C:11]([C:8]([C:3][C:4]([H:5])([H:6])[H:7])([H:9])[H:10])([H:12])[H:13],3.5840200918900003
[O:1]=[C:2]1[C:3]([C:4]([H:5])([H:6])[H:7])[C:8]([H:9])([H:10])[C:11]1([H:12])[H:13]>>[O:1]=[C:2]=[C:3]([C:4]([H:5])([H:6])[H:7])[C:8]([H:9])([H:10])[C:11]([H:12])[H:13],0.83817499886
[H:1][C:2]([H:3])[C@:4]1([H:5])[O:6][C:7]([C:8]([H:9])([H:10])[H:11])=[C:12]1[H:13]>>[H:1][C:2]=[C:7]([O:6][C:4]([H:5])=[C:12]([H:3])[H:13])[C:8]([H:9])([H:10])[H:11],0.70684146678
[H:1][C:2]([H:3])[C@:4]1([H:5])[O:6][C:7]([C:8]([H:9])([H:10])[H:11])=[C:12]1[H:13]>>[H:1][C:2]([H:3])=[C:4]([H:5])[C:12]([C:7](=[O:6])[C:8]([H:9])([H:10])[H:11])[H:13],-1.7613827107099995
[H:1][C:2]1=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[C:11]([H:12])=[C:13]1[H:14]>>[H:1][C:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[C:11]([H:12])=[C:13][H:14],4.94752646306
[H:1][O:2][C:3]1=[C:4]([H:5])[C@:6]([H:7])([C:8]([H:9])[H:10])[O:11]1>>[H:1][O:2][C:3](=[C:4][H:5])[O:11][C:6]([H:7])=[C:8]([H:9])[H:10],0.704176929819
[H:1][O:2][C:3]1[C@:4]2([C:5]([H:6])([H:7])[H:8])[O:9][C@@:10]12[H:11]>>[H:1][O:2]/[C:3]=[C:4](/[C:5]([H:6])([H:7])[H:8])[O:9][C:10][H:11],2.73424059247
[H:1][O:2][C:3]1[C@:4]2([C:5]([H:6])([H:7])[H:8])[O:9][C@@:10]12[H:11]>>[H:1][O:2]/[C:3]=[C:10](/[O:9][C:4][C:5]([H:6])([H:7])[H:8])[H:11],2.46321914273
[H:1][C:2]1=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[C:11]1[C:12]([H:13])([H:14])[H:15]>>[H:1][C:3]([C:2][C:12]([H:13])([H:14])[H:15])([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])=[C:11][H:10],5.29650340518
[H:1][C:2]1=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[C:11]1[C:12]([H:13])([H:14])[H:15]>>[H:1]/[C:2]([C:3][H:4])=[C:11](\[C:8]([C:5]([H:6])[H:7])([H:9])[H:10])[C:12]([H:13])([H:14])[H:15],4.60482433455
[C:1]=[C:2]1[C:3]=[C:4]([H:5])[C:6]([H:7])([H:8])[C:9]1([H:10])[H:11]>>[C:1]=[C:2]([C:3]#[C:4][H:5])[C:9]([C:6]([H:7])[H:8])([H:10])[H:11],0.8694547575
[H:1][O:2][C:3]=[C:4]1[C:5]([H:6])([H:7])[O:8][C:9]1([H:10])[H:11]>>[H:1][O:2][C:3]#[C:4][C:5]([H:6])([H:7])[O:8][C:9]([H:10])[H:11],0.488030928451
[H:1][C:2]([H:3])[C:4]1=[C:5][O:6][C:7]([H:8])([H:9])[C:10]1[H:11]>>[H:1][C:2]([H:3])[C:4](=[C:5]=[O:6])[C:10](=[C:7]([H:8])[H:9])[H:11],-2.0435940886200004
[H:1][O:2][C@:3]1([H:4])[C:5]=[C:6]([H:7])[C:8]([H:9])([H:10])[C:11]1[H:12]>>[H:1][O:2][C@@:3]([H:4])([C:5]#[C:6][H:7])[C:11](=[C:8]([H:9])[H:10])[H:12],-1.61205252151
