pc_1,pc_2,pc_3,pc_4,pc_5,activation_energy_qh_grimme_ts
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,19.164579851408085
-6.8371,-3.676,1.11638,-2.0345,-0.948893,8.809707801677972
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,16.684606545007096
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,13.42672102985739
-17.1145,-8.80606,5.56077,0.126051,0.604298,19.344694473077197
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.761481537661567
-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,17.816088315756296
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,26.153971758753958
-0.886957,0.203646,-1.94311,-1.54976,-1.13652,22.434103759992933
-17.1145,-8.80606,5.56077,0.126051,0.604298,23.125282045555352
-17.1145,-8.80606,5.56077,0.126051,0.604298,21.079373532274445
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.187622398259098
3.24748,-4.798369999999999,-1.63234,1.17202,-1.55152,38.64055108402136
-17.1145,-8.80606,5.56077,0.126051,0.604298,19.049248268992624
-17.1145,-8.80606,5.56077,0.126051,0.604298,24.673879578504373
-17.1145,-8.80606,5.56077,0.126051,0.604298,26.450250121346368
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,21.23784165019274
-6.8371,-3.676,1.11638,-2.0345,-0.948893,18.639523820198672
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.484571233463951
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,14.202183475232728
-0.649342,-1.50367,-2.24681,-2.20261,1.0132,28.71433715502568
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.319910257938444
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,12.797231178255696
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,13.508729018793233
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,25.835026684871224
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,22.51300238497743
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.06855337978223
-0.886957,0.203646,-1.94311,-1.54976,-1.13652,22.63445121333373
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.865553587156448
-17.1145,-8.80606,5.56077,0.126051,0.604298,21.945198569756265
-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.602335446481089
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,13.961640259389922
-17.1145,-8.80606,5.56077,0.126051,0.604298,16.851168676566385
-17.1145,-8.80606,5.56077,0.126051,0.604298,14.938391890908289
0.383056,-0.366777,-2.01768,4.56559,1.60245,29.33125744520925
-0.649342,-1.50367,-2.24681,-2.20261,1.0132,31.354720095739196
-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.57409839063295
-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,27.49761385673897
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,22.55197386918283
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,16.929669045845895
0.383056,-0.366777,-2.01768,4.56559,1.60245,25.476299172320942
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,14.88575462536454
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,12.21772240792788
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.734237501099454
4.150919999999998,-3.70436,-1.0868799999999998,0.97639,-1.4189200000000002,15.482556903055832
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,22.47841345478308
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,11.291774504772038
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.407316479748552
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.9519275632317
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.321575653180377
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,22.31573475437237
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,9.38656094561133
-17.1145,-8.80606,5.56077,0.126051,0.604298,25.0494126304245
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,14.954684027588428
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,22.12968820341731
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.91516490385333
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.838882635983712
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.88637631798188
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.63493109839435
-6.8371,-3.676,1.11638,-2.0345,-0.948893,22.182077107390025
-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,22.346712376130338
-17.1145,-8.80606,5.56077,0.126051,0.604298,20.73058159046925
-5.081119999999999,1.55541,-3.71763,0.752001,0.5990840000000001,26.779417345578448
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,23.036687300228724
-17.1145,-8.80606,5.56077,0.126051,0.604298,16.7988062190275
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.873577982256283
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.653921326658995
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.56826225889105
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,13.318705344937175
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,33.53017055827404
0.383056,-0.366777,-2.01768,4.56559,1.60245,23.21172226245725
-17.1145,-8.80606,5.56077,0.126051,0.604298,24.22597587497147
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,27.160518080506307
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,23.62466033733871
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,23.391075132992093
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,14.103336299334568
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,20.71245932050402
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.32549147629101
-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.384283048931753
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,11.88781307469874
-17.1145,-8.80606,5.56077,0.126051,0.604298,19.711023245031907
-6.8371,-3.676,1.11638,-2.0345,-0.948893,18.493755901214264
-6.8371,-3.676,1.11638,-2.0345,-0.948893,24.43391984356409
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.08031716568814
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.934221113629103
-17.1145,-8.80606,5.56077,0.126051,0.604298,16.180907203907598
-6.8371,-3.676,1.11638,-2.0345,-0.948893,22.389492184117337
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,24.614080250825072
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.928979175661812
-17.1145,-8.80606,5.56077,0.126051,0.604298,29.53020300977
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,14.512806306286128
-17.1145,-8.80606,5.56077,0.126051,0.604298,23.79055329861639
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.04541125398905
-17.1145,-8.80606,5.56077,0.126051,0.604298,23.61086827112562
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.416065364052026
-17.1145,-8.80606,5.56077,0.126051,0.604298,21.690716010587124
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.842294868003425
-17.1145,-8.80606,5.56077,0.126051,0.604298,20.008665513435027
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,28.513808355647683
-17.1145,-8.80606,5.56077,0.126051,0.604298,22.403463079079643
-17.1145,-8.80606,5.56077,0.126051,0.604298,23.45405388721218
-5.081119999999999,1.55541,-3.71763,0.752001,0.5990840000000001,25.52593141145543
-1.45993,9.77762,-1.00489,-0.144358,-1.27009,25.01095258414578
-6.8371,-3.676,1.11638,-2.0345,-0.948893,16.346830751311547
-0.649342,-1.50367,-2.24681,-2.20261,1.0132,29.078990271111117
-6.8371,-3.676,1.11638,-2.0345,-0.948893,24.29561995655668
-17.1145,-8.80606,5.56077,0.126051,0.604298,19.999499552091613
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.15943264824903
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,13.326537926528234
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,10.904431681514684
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.39595729097583
-17.1145,-8.80606,5.56077,0.126051,0.604298,22.300763712485672
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,11.416106042640962
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,12.215977317685388
-1.47901,-1.118,-3.00926,-1.40615,0.410937,25.810534563403248
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,20.53614299733841
-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.681951335887485
-6.8371,-3.676,1.11638,-2.0345,-0.948893,25.91936352710008
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.20920105885224
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.853500154058377
-5.081119999999999,1.55541,-3.71763,0.752001,0.5990840000000001,22.72957222102388
-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,18.579114760368075
-17.1145,-8.80606,5.56077,0.126051,0.604298,17.679263026031602
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.4183606154407
-0.886957,0.203646,-1.94311,-1.54976,-1.13652,23.398339815883016
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,20.50686212349229
-17.1145,-8.80606,5.56077,0.126051,0.604298,17.330133699506945
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.098520503824949
-17.1145,-8.80606,5.56077,0.126051,0.604298,12.514768446762366
-17.1145,-8.80606,5.56077,0.126051,0.604298,22.0130888017415
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,13.77792683746486
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.553938883488712
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.991733802032336
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.032685560138773
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,20.801616486151357
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.199299939825725
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.34936908565614
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.13580349255432
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,24.36047061744511
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,23.911534618311
-6.8371,-3.676,1.11638,-2.0345,-0.948893,15.349097589203192
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.727717956511167
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.508699053338518
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,25.443259545705253
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.494267911426963
-6.8371,-3.676,1.11638,-2.0345,-0.948893,17.05140591983456
-17.1145,-8.80606,5.56077,0.126051,0.604298,15.41287705338084
-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.794021391976102
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,16.83227333423419
3.24748,-4.798369999999999,-1.63234,1.17202,-1.55152,35.67112791962904
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,14.617228234800498
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.18001977935384
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,13.877075212014171
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,11.812569670008768
-17.1145,-8.80606,5.56077,0.126051,0.604298,21.98825260853968
-17.1145,-8.80606,5.56077,0.126051,0.604298,25.44504283500463
-1.47901,-1.118,-3.00926,-1.40615,0.410937,27.53767532036457
-17.1145,-8.80606,5.56077,0.126051,0.604298,21.668203325418528
3.24748,-4.798369999999999,-1.63234,1.17202,-1.55152,28.28133491047728
-0.649342,-1.50367,-2.24681,-2.20261,1.0132,28.29077891857059
-17.1145,-8.80606,5.56077,0.126051,0.604298,14.5964682536611
-17.1145,-8.80606,5.56077,0.126051,0.604298,12.938791654972777
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,13.056220635874364
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.271733196956973
-6.8371,-3.676,1.11638,-2.0345,-0.948893,18.50288363425157
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.847116930341176
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,25.898915308717694
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.826222070789736
-17.1145,-8.80606,5.56077,0.126051,0.604298,25.95625910807316
-17.1145,-8.80606,5.56077,0.126051,0.604298,20.359887452060192
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.99327038451277
3.24748,-4.798369999999999,-1.63234,1.17202,-1.55152,40.29220307440781
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,24.034774808110104
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,16.527431129305004
-3.56352,-0.739374,-2.16803,2.34958,4.65793,22.21471577388905
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.22446334580825
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,16.002878344028357
-17.1145,-8.80606,5.56077,0.126051,0.604298,17.835415616602774
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,21.564200536982234
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,28.020276966515787
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.838594497066197
4.150919999999998,-3.70436,-1.0868799999999998,0.97639,-1.4189200000000002,19.0933330080105
3.24748,-4.798369999999999,-1.63234,1.17202,-1.55152,38.95380207901725
-6.8371,-3.676,1.11638,-2.0345,-0.948893,27.914871931032145
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.891413578761398
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,20.188830928305627
-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.14357053288043
-17.1145,-8.80606,5.56077,0.126051,0.604298,18.53808943897205
-17.1145,-8.80606,5.56077,0.126051,0.604298,23.69958386974631
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,18.97107161256112
-17.1145,-8.80606,5.56077,0.126051,0.604298,16.44404439336015
-1.37124,0.7009270000000001,-2.2014400000000003,-1.16237,-3.4166,23.010091368773647
-17.1145,-8.80606,5.56077,0.126051,0.604298,22.55806760773733
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.716607386960995
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.49891241692484
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,11.634052009389114
-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.51672998986217
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.194755976101742
-6.8371,-3.676,1.11638,-2.0345,-0.948893,17.9974755786698
-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,21.580756764038625
