AAM,exp_activation_energy
[F:18][C:3]1=[CH:4][C:5]([F:6])=[C:7]2[C:8]([F:9])=[C:10]([CH:12]=[C:13]([C:15]2=[C:16]1[F:17])[F:14])[F:11].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][C:5]([F:6])=[C:7]2[C:8]([F:9])=[C:10]([CH:12]=[C:13]([C:15]2=[C:16]1[F:17])[F:14])[F:11].[F-:18],25.4
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:24]=[CH:25]1)[O:14][C:15]2=[CH:16][CH:17]=[C:18]([CH:22]=[CH:23]2)[N+:19]([O-:21])=[O:20])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:20]=[N+:19]([C:18]1=[CH:17][CH:16]=[C:15]([CH:23]=[CH:22]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:21].[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:24]=[CH:25]1)[OH:14])[O-:9],25.38
[F:12][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([Cl:9])=[C:10]1[Cl:11])[Cl:7].[NH3:1]>>[NH2:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([Cl:9])=[C:10]1[Cl:11])[Cl:7].[FH:12],22.72
[F:1][C:2]1=[CH:3][C:4]([F:5])=[N:6][C:7]([F:8])=[CH:9]1.[NH3:10]>>[NH2:10][C:2]1=[CH:3][C:4]([F:5])=[N:6][C:7]([F:8])=[CH:9]1.[FH:1],25.81
[O:1]=[N+:2]([C:4]1=[CH:5][N:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[NH2:14][C:15]1=[CH:16][CH:17]=[C:18]([CH:20]=[CH:21]1)[Cl:19]>>[O:1]=[N+:2]([C:4]1=[CH:5][N:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[NH:14][C:15]2=[CH:16][CH:17]=[C:18]([CH:20]=[CH:21]2)[Cl:19])[O-:3].[ClH:8],20.55
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:1])[O-:4].[NH2:14][C:15]1=[CH:16][CH:17]=[CH:18][C:19]([Cl:20])=[CH:21]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[NH:14][C:15]2=[CH:16][CH:17]=[CH:18][C:19]([Cl:20])=[CH:21]2)[O-:4].[FH:1],22.83
[O:16]=[N+:15]([C:14]1=[CH:13][N:12]=[C:11]([C:19]([N+:20]([O-:22])=[O:21])=[CH:18]1)[Cl:23])[O-:17].[CH3:1][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[NH2:8])=[O:3]>>[CH3:1][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[NH:8][C:11]2=[N:12][CH:13]=[C:14]([CH:18]=[C:19]2[N+:20]([O-:22])=[O:21])[N+:15]([O-:17])=[O:16])=[O:3].[ClH:23],21.45
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:9]=[CH:10]1)[Cl:8])[O-:3].[O-:11][C:12]1=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]1)[Br:16]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:9]=[CH:10]1)[O:11][C:12]2=[CH:13][CH:14]=[C:15]([CH:17]=[CH:18]2)[Br:16])[O-:3].[Cl-:8],23.37
[N:19]#[C:18][C:17]1=[CH:16][C:12]([N+:13]([O-:15])=[O:14])=[C:11]([C:21]([N+:22]([O-:24])=[O:23])=[CH:20]1)[Cl:25].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:9]=[CH:10]1)[CH2:7][NH2:8]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:9]=[CH:10]1)[CH2:7][NH:8][C:11]2=[C:12]([CH:16]=[C:17]([CH:20]=[C:21]2[N+:22]([O-:24])=[O:23])[C:18]#[N:19])[N+:13]([O-:15])=[O:14].[ClH:25],16.13
[O:1]=[N+:2]([C:4]1=[CH:5][N:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH3:14][O:15][C:16]1=[CH:17][CH:18]=[C:19]([CH:21]=[CH:22]1)[NH2:20]>>[CH3:14][O:15][C:16]1=[CH:17][CH:18]=[C:19]([CH:21]=[CH:22]1)[NH:20][C:7]2=[N:6][CH:5]=[C:4]([CH:13]=[C:9]2[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1].[ClH:8],18.07
