AAM,ea
[O:1]([C:2]([C:3]([C:4]#[C:5][H:12])([C:6]#[C:7][H:13])[H:11])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C@@:3]([C:5](=[C:4])[H:12])([C:6]#[C:7][H:13])[H:11])([H:9])[H:10])[H:8],55.7766647859024
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,60.2678528092413
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],64.8573007140164
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:6])[H:7].[C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:8])([H:9])[H:10],79.7066675180825
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:4]([O:5][H:13])([H:11])[H:12])([H:6])([H:7])[H:8].[C:3]([H:9])[H:10],88.07835354281609
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3]([C:4]([H:8])([H:11])[H:12])([H:9])[H:10])([O:5][H:13])([H:6])[H:7],96.75440183241841
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],58.747407652550706
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([H:6])[H:7].[O:2]([C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])[H:8],85.626360065718
[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[N:3](=[N+:4]=[N-:5])[H:6].[O+:1]#[C-:2],53.326161667307
[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],47.72637600704579
[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[N:4]#[N:5].[O:1]=[C:2]=[N:3][H:6],28.1117866881611
[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[N-:3]=[N+:4]=[N:5].[O:1]=[C:2][H:6],73.9883878420279
[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([O:5][C:6]([H:16])([H:17])[H:18])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[C:4]([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:13][H:17].[O:5]=[C:6]([H:16])[H:18],58.964112809765204
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[C:5](=[O:6])[H:12])([H:7])([H:8])[H:9],37.7727334837175
